property_id,property_name,market,asset_class,units,acquisition_price,acquisition_date
P001,Cedar Place,Toronto,Garden apartments,154,45532626.04,2017-01-15
P002,Riverside Towers,Hamilton,Mid-rise,163,58198384.22,2018-02-15
P003,Maple Court,London,Mixed-use,95,34820944.94,2019-03-15
P004,Harbour View,Windsor,Student housing,100,34361940.97,2020-04-15
P005,Park Lane,Kitchener,Garden apartments,127,44112644.44,2021-05-15
P006,Oakridge Manor,Ottawa,Mid-rise,137,61326284.15,2022-06-15
P007,King West Lofts,Toronto,Mixed-use,155,65961258.54,2023-07-15
P008,Lakeside House,Hamilton,Student housing,119,32852104.6,2017-08-15
P009,Barton Square,London,Garden apartments,89,33826526.91,2018-09-15
P010,Victoria Gardens,Windsor,Mid-rise,105,35835962.11,2019-01-15
P011,Mason Heights,Kitchener,Mixed-use,127,53701567.81,2020-02-15
P012,York Mills Residences,Ottawa,Student housing,120,31511826.27,2021-03-15
P013,Queenston Court,Toronto,Garden apartments,169,54109476.8,2022-04-15
P014,Forest Hill Apartments,Hamilton,Mid-rise,124,37513206.47,2023-05-15
P015,Bayview Terrace,London,Mixed-use,144,38084244.8,2017-06-15
P016,Dundas Commons,Windsor,Student housing,142,49299610.73,2018-07-15
P017,Huron House,Kitchener,Garden apartments,94,36757225.44,2019-08-15
P018,Elm Street Flats,Ottawa,Mid-rise,153,40834199.67,2020-09-15
P019,Stonebridge Place,Toronto,Mixed-use,90,35529060.26,2021-01-15
P020,Mill Road Residences,Hamilton,Student housing,87,33366230.01,2022-02-15
P021,Albion Gardens,London,Garden apartments,139,45310136.91,2023-03-15
P022,Willow Creek,Windsor,Mid-rise,108,28626473.17,2017-04-15
P023,Front Street Lofts,Kitchener,Mixed-use,118,35674376.24,2018-05-15
P024,Meadowbrook Court,Ottawa,Student housing,141,67661364.28,2019-06-15
