project_id,property_id,project_type,capital_required,expected_noi_lift,expected_value_lift,risk_reduction_points,priority_note
CAP-P001-1,P001,Unit renovation,755423.0,81324.84,1690638.51,9.65,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P001-2,P001,Debt paydown,449776.0,30564.21,635390.59,2.59,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P002-1,P002,Building systems,192466.0,12461.78,245416.48,3.83,Building systems expected to improve NOI and reduce operating risk.
CAP-P002-2,P002,Building systems,386734.0,29149.33,574053.08,6.6,Building systems expected to improve NOI and reduce operating risk.
CAP-P003-1,P003,Unit renovation,598597.0,44848.74,963384.02,7.96,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P003-2,P003,Unit renovation,721070.0,61726.25,1325925.35,5.72,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P004-1,P004,Debt paydown,480601.0,40605.59,932623.21,2.92,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P004-2,P004,Building systems,837223.0,90517.37,2078989.58,11.52,Building systems expected to improve NOI and reduce operating risk.
CAP-P005-1,P005,Debt paydown,213789.0,20899.24,468206.53,11.85,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P005-2,P005,Energy retrofit,294217.0,31402.31,703507.09,8.52,Energy retrofit expected to improve NOI and reduce operating risk.
CAP-P006-1,P006,Debt paydown,797314.0,98553.0,2049366.51,7.38,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P006-2,P006,Building systems,656465.0,53882.42,1120461.37,3.06,Building systems expected to improve NOI and reduce operating risk.
CAP-P007-1,P007,Unit renovation,787278.0,90242.73,1759920.55,11.68,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P007-2,P007,Building systems,457774.0,31469.94,613729.18,11.99,Building systems expected to improve NOI and reduce operating risk.
CAP-P008-1,P008,Unit renovation,530169.0,64598.95,1324759.94,3.49,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P008-2,P008,Unit renovation,495386.0,59914.55,1228694.96,5.38,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P009-1,P009,Energy retrofit,839158.0,69455.29,1448272.9,11.78,Energy retrofit expected to improve NOI and reduce operating risk.
CAP-P009-2,P009,Debt paydown,748204.0,90884.28,1895107.26,11.47,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P010-1,P010,Unit renovation,836266.0,108129.56,2193519.87,10.28,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P010-2,P010,Unit renovation,269203.0,19599.17,397589.31,9.93,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P011-1,P011,Unit renovation,368553.0,24826.43,487582.62,2.61,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P011-2,P011,Building systems,432692.0,38653.55,759142.55,7.8,Building systems expected to improve NOI and reduce operating risk.
CAP-P012-1,P012,Building systems,502264.0,46153.87,939488.52,7.05,Building systems expected to improve NOI and reduce operating risk.
CAP-P012-2,P012,Energy retrofit,678515.0,49793.13,1013567.75,8.99,Energy retrofit expected to improve NOI and reduce operating risk.
CAP-P013-1,P013,Building systems,706527.0,46097.17,1010721.13,5.07,Building systems expected to improve NOI and reduce operating risk.
CAP-P013-2,P013,Building systems,361108.0,38571.97,845724.52,4.84,Building systems expected to improve NOI and reduce operating risk.
CAP-P014-1,P014,Energy retrofit,629091.0,49813.64,1100139.92,11.1,Energy retrofit expected to improve NOI and reduce operating risk.
CAP-P014-2,P014,Debt paydown,661858.0,76458.09,1688585.9,11.45,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P015-1,P015,Building systems,248616.0,20989.28,451723.21,7.24,Building systems expected to improve NOI and reduce operating risk.
CAP-P015-2,P015,Building systems,411983.0,41676.9,896954.01,2.69,Building systems expected to improve NOI and reduce operating risk.
